file_number,api_number,operator_name,township,township_bearing,range,range_bearing,section,state,field_name,effective_on,action_type,slant,target_formation,elevation,depth,countyfips,well_status
48659813,4902121172,EOG RESOURCES INC,13,N,65,W,24,WY,JUBILEE,20140514,Approved,H,CODELL,5912,17985,56021,Active Permit
1749966600,4902726876,CHEYENNE RIVER LLC,39,N,65,W,8,WY,CHESTER,20140612,Approved,H,MUDDY,4495,14769,56027,Active Permit
84156229,4903528932,QEP ENERGY COMPANY,32,N,109,W,5,WY,MESA,20140620,Approved,H,LANCE,7503,14660,56035,Active Permit
1144577154,4903528931,QEP ENERGY COMPANY,32,N,109,W,5,WY,MESA,20140703,Approved,H,LANCE,7504,14367,56035,Active Permit
353231701,4900929286,EOG RESOURCES INC,40,N,71,W,21,WY,BLADE,20141029,Approved,H,DAKOTA,4858,18420,56009,Active Permit
98249992,4900929984,MBI OIL & GAS LLC,35,N,68,W,14,WY,MOORE,20141031,Approved,H,TEAPOT,4728,11301,56009,Active Permit
1609685930,4900930011,EOG RESOURCES INC,40,N,71,W,31,WY,BLADE,20141105,Approved,H,MOWRY,4911,16113,56009,Active Permit
523731550,3003121006,"HPOC, LLC",20,N,5,W,36,NM,TORREON WASH 36 STATE,20140828,Approved,H,O,6636,5650,35031,Shut-in
58839163,3003931236,"WPX ENERGY PRODUCTION, LLC",23,N,6,W,19,NM,CHACO 2306 18M,20140516,Approved,H,,6938,10754,35043,Active Permit
499598294,3004535588,"LOGOS OPERATING, LLC",23,N,8,W,4,NM,HEROS,20140905,Approved,H,,6892,11928,35045,Active Permit
288733515,3002542208,"DCP MIDSTREAM, LP",19,S,32,E,19,NM,ZIA AGI,20141022,Approved,H,,3550,6200,35025,Active Permit
1159615583,512339800,PDC ENERGY INC,5,N,64,W,14,CO,PETERSON,20140702,Approved,H,NIOBRARA,4571,10967,8123,ACTIVE PERMIT
400596345,512339943,RED HAWK PETROLEUM LLC,7,N,60,W,2,CO,LOOMIS,20140730,Approved,H,NIOBRARA,4949,11453,8123,ACTIVE PERMIT
1698519896,512340078,PDC ENERGY INC,5,N,64,W,27,CO,CHESNUT,20140820,Approved,H,CODELL,4617,13415,8123,ACTIVE PERMIT
28688,3305306034,QEP ENERGY COMPANY,150,N,95,W,21,ND,STATE,20140620,Approved,H,,2297,20777,38053,Drilling
28859,3310503595,WHITING OIL AND GAS CORPORATION,156,N,97,W,11,ND,SOLBERG,20140714,Approved,H,,2310,20607,38105,Active
29393,3305306259,QEP ENERGY COMPANY,149,N,95,W,26,ND,TAT,20140912,Approved,H,,2465,21259,38053,Drilling
1985012977,4903729308,SAMSON RESOURCES COMPANY,14,N,95,W,6,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,15836,56037,Active Permit
1985012977,4903729308,SAMSON RESOURCES COMPANY,14,N,96,W,12,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,15836,56037,Active Permit
1630969012,4900562447,DENBURY ONSHORE LLC,44,N,75,W,26,WY,HARTZOG DRAW UNIT,20140513,Approved,H,SHANNON,5220,15699,56005,Active Permit
1630969012,4900562447,DENBURY ONSHORE LLC,44,N,75,W,35,WY,HARTZOG DRAW UNIT,20140513,Approved,H,SHANNON,5220,15699,56005,Active Permit
957103855,4903729309,SAMSON RESOURCES COMPANY,14,N,95,W,6,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,16107,56037,Active Permit
957103855,4903729309,SAMSON RESOURCES COMPANY,14,N,96,W,12,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,16107,56037,Active Permit
592453842,4900929642,WOLD ENERGY PARTNERS LLC,36,N,75,W,20,WY,TILLARD,20140513,Approved,H,FRONTIER,5681,21690,56009,Active Permit
592453842,4900929642,WOLD ENERGY PARTNERS LLC,36,N,75,W,8,WY,TILLARD,20140513,Approved,H,FRONTIER,5681,21690,56009,Active Permit
1256760830,4903729307,SAMSON RESOURCES COMPANY,14,N,95,W,6,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,15203,56037,Active Permit
1256760830,4903729307,SAMSON RESOURCES COMPANY,14,N,96,W,12,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,15203,56037,Active Permit
684947344,4900929640,WOLD ENERGY PARTNERS LLC,36,N,75,W,20,WY,TILLARD,20140513,Approved,V,NIOBRARA,5255,11285,56009,Confidential Well Status
684947344,4900929640,WOLD ENERGY PARTNERS LLC,36,N,75,W,29,WY,TILLARD,20140513,Approved,V,NIOBRARA,5255,11285,56009,Confidential Well Status
1756798127,4900929639,WOLD ENERGY PARTNERS LLC,36,N,75,W,20,WY,TILLARD,20140513,Approved,H,FRONTIER,5681,21525,56009,Active Permit
1756798127,4900929639,WOLD ENERGY PARTNERS LLC,36,N,75,W,29,WY,TILLARD,20140513,Approved,H,FRONTIER,5681,21525,56009,Active Permit
1012146117,4900562389,DENBURY ONSHORE LLC,45,N,76,W,1,WY,HARTZOG DRAW UNIT,20140513,Approved,H,SHANNON,4790,14185,56005,Active Permit
1012146117,4900562389,DENBURY ONSHORE LLC,46,N,76,W,35,WY,HARTZOG DRAW UNIT,20140513,Approved,H,SHANNON,4790,14185,56005,Active Permit
1881247910,4900929019,SM ENERGY COMPANY,39,N,74,W,7,WY,SPEARHEAD FEDERAL,20140513,Approved,H,SHANNON,5198,20966,56009,Active Permit
1881247910,4900929019,SM ENERGY COMPANY,39,N,74,W,19,WY,SPEARHEAD FEDERAL,20140513,Approved,H,SHANNON,5198,20966,56009,Active Permit
745291624,4900561721,TRUE OIL LLC,42,N,76,W,32,WY,TRUE FEDERAL,20140513,Approved,H,FRONTIER,5109,17044,56005,Active Permit
745291624,4900561721,TRUE OIL LLC,42,N,76,W,32,WY,TRUE FEDERAL,20140513,Approved,H,FRONTIER,5109,17044,56005,Active Permit
899971293,4903729306,SAMSON RESOURCES COMPANY,14,N,95,W,6,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,16583,56037,Active Permit
899971293,4903729306,SAMSON RESOURCES COMPANY,14,N,96,W,1,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,16583,56037,Active Permit
161147257,4903729305,SAMSON RESOURCES COMPANY,14,N,95,W,6,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,16215,56037,Active Permit
161147257,4903729305,SAMSON RESOURCES COMPANY,14,N,96,W,1,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,16215,56037,Active Permit
710485790,4900562446,DENBURY ONSHORE LLC,44,N,75,W,26,WY,HARTZOG DRAW UNIT,20140513,Approved,H,SHANNON,5223,14951,56005,Active Permit
710485790,4900562446,DENBURY ONSHORE LLC,44,N,75,W,23,WY,HARTZOG DRAW UNIT,20140513,Approved,H,SHANNON,5223,14951,56005,Active Permit
625626494,4901323432,DEVON ENERGY PRODUCTION COMPANY LP,33,N,96,W,9,WY,BCU,20140513,Approved,H,MADISON,5236,12416,56013,Active Permit
625626494,4901323432,DEVON ENERGY PRODUCTION COMPANY LP,33,N,96,W,9,WY,BCU,20140513,Approved,H,MADISON,5236,12416,56013,Active Permit
1922844596,4903729304,SAMSON RESOURCES COMPANY,14,N,95,W,6,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,15906,56037,Active Permit
1922844596,4903729304,SAMSON RESOURCES COMPANY,14,N,96,W,1,WY,BARRICADE,20140513,Approved,H,FORT UNION,6598,15906,56037,Active Permit
529076716,4900561790,EOG RESOURCES INC,41,N,72,W,19,WY,ARBALEST,20140513,Approved,V,MOWRY,4814,11549,56005,Confidential Well Status
529076716,4900561790,EOG RESOURCES INC,41,N,72,W,19,WY,ARBALEST,20140513,Approved,V,MOWRY,4814,11549,56005,Confidential Well Status
374187451,4900928663,EOG RESOURCES INC,40,N,72,W,26,WY,MARYS DRAW,20140514,Approved,H,MOWRY,4726,15655,56009,Active Permit
374187451,4900928663,EOG RESOURCES INC,40,N,72,W,26,WY,MARYS DRAW,20140514,Approved,H,MOWRY,4726,15655,56009,Active Permit
2113999011,4902121161,EOG RESOURCES INC,13,N,65,W,23,WY,JUBILEE,20140514,Approved,H,CODELL,4910,18800,56021,Active Permit
2113999011,4902121161,EOG RESOURCES INC,13,N,65,W,11,WY,JUBILEE,20140514,Approved,H,CODELL,4910,18800,56021,Active Permit
516951775,4900928560,HELIS OIL & GAS COMPANY LLC  ESTATE,37,N,74,W,17,WY,HENRY REV.,20140514,Approved,H,1ST FRONTIER,5272,22694,56009,Active Permit
516951775,4900928560,HELIS OIL & GAS COMPANY LLC  ESTATE,37,N,74,W,20,WY,HENRY REV.,20140514,Approved,H,1ST FRONTIER,5272,22694,56009,Active Permit
48659813,4902121172,EOG RESOURCES INC,13,N,65,W,25,WY,JUBILEE,20140514,Approved,H,CODELL,5912,17985,56021,Active Permit
2081567843,4900928667,BILL BARRETT CORPORATION,38,N,74,W,24,WY,FEDERAL,20140514,Approved,H,SUSSEX,5193,14606,56009,Active Permit
2081567843,4900928667,BILL BARRETT CORPORATION,38,N,74,W,24,WY,FEDERAL,20140514,Approved,H,SUSSEX,5193,14606,56009,Active Permit
351696404,4902121171,EOG RESOURCES INC,13,N,65,W,24,WY,JUBILEE,20140514,Approved,H,NIOBRARA,5892,18595,56021,Active Permit
351696404,4902121171,EOG RESOURCES INC,13,N,65,W,12,WY,JUBILEE,20140514,Approved,H,NIOBRARA,5892,18595,56021,Active Permit
99430166,4902121170,EOG RESOURCES INC,13,N,65,W,24,WY,JUBILEE,20140514,Approved,H,CODELL,5891,18712,56021,Active Permit
99430166,4902121170,EOG RESOURCES INC,13,N,65,W,12,WY,JUBILEE,20140514,Approved,H,CODELL,5891,18712,56021,Active Permit
45518357,4902121167,EOG RESOURCES INC,13,N,65,W,21,WY,JUBILEE,20140514,Approved,H,NIOBRARA,5932,18487,56021,Active Permit
45518357,4902121167,EOG RESOURCES INC,13,N,65,W,9,WY,JUBILEE,20140514,Approved,H,NIOBRARA,5932,18487,56021,Active Permit
1792232391,4900928327,EOG RESOURCES INC,39,N,72,W,20,WY,DILTS,20140514,Approved,H,PARKMAN,4846,12618,56009,Active Permit
