"api_number","reported_on","barrels_oil","mcf_gas","barrels_water","days_producing"
"4900551537","20070801","0","876.99","274.97",""
"4900542012","20070801","0","1302.93","962.86",""
"4900542016","20070801","0","4065.03","3307.08",""
"4900548673","20070801","0","1545.04","0",""
"4900541423","20060501","0","408.89","2728.93",""
"4900527833","20131101","0","0","2390.1",""
"4900541508","20060701","0","0","159.96",""
"4900535774","20100601","0","9.9","0",""
"4900537425","20060101","0","317.13","5921.93",""
"4900527968","20140801","0","805.07","0",""
"4900537724","20120501","0","1.86","0",""
"4900543310","20070801","0","145.08","3759.06",""
"4900538038","20070801","0","9110.9","1427.86",""
"4900552454","20070801","0",".93","0",""
"4900538187","20061001","0","660.92","0",""
"4900538191","20070801","0","0","3100",""
"4900531591","20070801","0","784.92","0",""
"4900526257","20140801","0","327.98","0",""
"4900538192","20070301","0","7.13","0",""
"4900531802","20070801","0","505.92","0",""
"4900532260","20070801","0","607.91","0",""
"4900541789","20070901","0","2.1","0",""
"4900541790","20070901","0","21.9","0",""
"4900546396","20070801","0","229.09","0",""
"4900546398","20070801","0","585.9","1412.05",""
"4900546399","20070801","0","172.05","0",""
"4900538194","20061201","0","277.14","0",""
"4900546401","20070801","0","25.11","3245.08",""
"4900543037","20070801","0","0","1132.12",""
"4900546402","20070601","0",".9","0",""
"4900546404","20070801","0","14.88","1674",""
"4900546405","20070801","0","132.06","0",""
"4900538196","20070501","0","3.1","0",""
"4900538202","20070801","0","266.91","0",""
"4900546410","20070801","0","25.11","0",""
"4900546411","20070801","0","88.04","873.89",""
"4900543312","20070801","0","2226.11","651",""
"4900542018","20070801","0","386.88","2224.87",""
"4900542014","20070601","0","944.1","0",""
"4900542015","20070801","0","2072.97","537.85",""
"4900542020","20070801","0","525.14","0",""
"4900542017","20070601","0","579","0",""
"4900542021","20070801","0","636.12","0",""
"4900542011","20070801","0","1868.99","0",""
"4900538204","20070801","0","1.86","0",""
"4900546412","20070801","0","668.05","1615.1",""
"4900543205","20101101","0","48","0",""
"4900546413","20070801","0","1266.04","1435.92",""
"4900548228","20060301","0",".93","0",""
"4900546414","20070801","0","407.03","2062.12",""
"4900546415","20070801","0","389.98","1380.12",""
"4900546416","20070801","0","0","1243.1",""
"4900548228","20030301","0","868.93","189.1",""
"4900549960","20120501","0","237.15","0",""
"4900546426","20051201","0","0","12160.06",""
"4900550623","20130901","0","23.1","0",""
"4900551087","20070801","0","70.06","4455.94",""
"4900551090","20070801","0","984.87","0",""
"4900551620","20070601","0","4833.9","1116.9",""
"4900543438","20070801","0","0","1462.89",""
"4900546427","20070801","0","413.85","3294.99",""
"4900546428","20070801","0","0","2187.05",""
"4900546429","20070801","0","17.98","1830.86",""
"4900546431","20070801","0","362.08","1039.12",""
"4900543046","20070801","0","0","15982.98",""
"4900546432","20070801","0","5.89","1316.88",""
"4900546433","20070801","0","931.86","0",""
"4900546435","20070801","0","41.85","1601.15",""
"4900546436","20070801","0","12.09","1571.08",""
"4900551629","20070601","0","605.1","4791",""
"4900543314","20070201","0","50.96","0",""
"4900552131","20070601","0","1781.1","405",""
"4900546437","20070801","0","420.98","1923.86",""
"4900546438","20070801","0","633.95","1356.87",""
"4900543059","20070801","0","0","12032.03",""
"4900546439","20070801","0","0","2267.03",""
"4900533418","20070801","0","2909.04","2936.01",""
"4900552132","20070601","0","966","0",""
"4900552133","20070601","0","3435","0",""
"4900552134","20070601","0","2373","219",""
"4900552135","20070601","0","1233","149.1",""
"4900548452","20070801","0","978.98","0",""
"4900548456","20070801","0","1634.94","2937.87",""
"4900548457","20070801","0","1639.9","2147.06",""
"4900548680","20060301","0","7.13","0",""
"4900552136","20070601","0","3770.1","708",""
"4900552137","20070601","0","1922.1","276.9",""
"4900552138","20070601","0","1959","507",""
"4900552139","20070601","0","2673.9","2574",""
"4900545579","20070801","0","0","6200",""
"4900545580","20070801","0","0","2480",""
"4900545581","20070801","0","0","1860",""
"4900548682","20070801","0","12.09","3627",""
"4900548683","20070801","0","0","2790",""
"4900548684","20070801","0","0","4991",""
"4900548949","20070801","0","469.96","4140.05",""
"4900552140","20070601","0","2657.1","390.9",""
"4900549002","20070801","0","20.15","2728",""
"4900549116","20070801","0","583.11","0",""
"4900549118","20070801","0","1000.99","2502.01",""
"4900549120","20050801","0","2302.06","602.95",""
"4900549722","20070901","0","2163","0",""
"4900549723","20070901","0","1889.1","0",""
"4900549724","20070901","0","2039.1","0",""
"4900552141","20070601","0","2804.1","101.1",""
"4900552142","20070601","0","2607.9","1161.9",""
"4900549725","20070901","0","2123.1","432.9",""
"4900549726","20070901","0","2639.1","0",""
"4900552144","20070601","0","3014.1","248.1",""
"4900549727","20070901","0","2127.9","0",""
"4900549728","20070901","0","2115.9","0",""
"4900549729","20070901","0","2115","0",""
"4900550533","20070801","0","0","300.08",""
"4900552147","20070601","0","3582.9","408.9",""
"4900550708","20070801","0","1213.96","0",""
"4900550709","20070801","0","1160.02","0",""
"4900552152","20070601","0","2103","120",""
"4900552156","20070601","0","1755","95.1",""
"4900552159","20070601","0","1994.1","185.1",""
"4900552161","20070601","0","1973.1",".9",""
"4900552164","20070601","0","2226.9","276.9",""
"4900552167","20070601","0","969","102",""
"4900552170","20070601","0","1035","201.9",""
"4900552173","20070601","0","2816.1","315",""
"4900552176","20070601","0","1850.1","315",""
"4900550710","20070801","0","1072.91","0",""
